dtpricon;metastaticos;fetar;sexo;sitio;escolaridade;tempo_tto;obito1ano;pop
2000;não metastáticos;<60;masculino;colon;alta;>60; 1;  9
2000;não metastáticos;<60;masculino;colon;alta;<=60; 6; 80
2000;não metastáticos;<60;masculino;colon;alta;NA; 0;  2
2000;não metastáticos;<60;masculino;colon;baixa;>60; 0; 13
2000;não metastáticos;<60;masculino;colon;baixa;<=60; 3; 49
2000;não metastáticos;<60;masculino;colon;baixa;NA; 2;  6
2000;não metastáticos;<60;masculino;reto;alta;>60; 1; 18
2000;não metastáticos;<60;masculino;reto;alta;<=60; 8; 64
2000;não metastáticos;<60;masculino;reto;alta;NA; 0;  1
2000;não metastáticos;<60;masculino;reto;baixa;>60; 2; 16
2000;não metastáticos;<60;masculino;reto;baixa;<=60; 5; 38
2000;não metastáticos;<60;masculino;reto;baixa;NA; 1;  3
2000;não metastáticos;<60;feminino;colon;alta;>60; 0; 13
2000;não metastáticos;<60;feminino;colon;alta;<=60; 3; 93
2000;não metastáticos;<60;feminino;colon;alta;NA; 0;  3
2000;não metastáticos;<60;feminino;colon;baixa;>60; 2; 13
2000;não metastáticos;<60;feminino;colon;baixa;<=60; 7; 54
2000;não metastáticos;<60;feminino;colon;baixa;NA; 1;  5
2000;não metastáticos;<60;feminino;reto;alta;>60; 2; 23
2000;não metastáticos;<60;feminino;reto;alta;<=60; 8; 65
2000;não metastáticos;<60;feminino;reto;alta;NA; 1;  3
2000;não metastáticos;<60;feminino;reto;baixa;>60; 0; 21
2000;não metastáticos;<60;feminino;reto;baixa;<=60; 2; 61
2000;não metastáticos;<60;feminino;reto;baixa;NA; 0;  1
2000;não metastáticos;>=60;masculino;colon;alta;>60; 1; 18
2000;não metastáticos;>=60;masculino;colon;alta;<=60;13; 82
2000;não metastáticos;>=60;masculino;colon;alta;NA; 0;  4
2000;não metastáticos;>=60;masculino;colon;baixa;>60; 2;  9
2000;não metastáticos;>=60;masculino;colon;baixa;<=60; 8; 67
2000;não metastáticos;>=60;masculino;colon;baixa;NA; 0;  7
2000;não metastáticos;>=60;masculino;reto;alta;>60; 5; 23
2000;não metastáticos;>=60;masculino;reto;alta;<=60;14; 78
2000;não metastáticos;>=60;masculino;reto;alta;NA; 2;  2
2000;não metastáticos;>=60;masculino;reto;baixa;>60; 3; 27
2000;não metastáticos;>=60;masculino;reto;baixa;<=60;13; 87
2000;não metastáticos;>=60;masculino;reto;baixa;NA; 2;  7
2000;não metastáticos;>=60;feminino;colon;alta;>60; 1;  7
2000;não metastáticos;>=60;feminino;colon;alta;<=60; 9; 90
2000;não metastáticos;>=60;feminino;colon;alta;NA; 0;  5
2000;não metastáticos;>=60;feminino;colon;baixa;>60; 2; 16
2000;não metastáticos;>=60;feminino;colon;baixa;<=60;13; 95
2000;não metastáticos;>=60;feminino;colon;baixa;NA; 3; 11
2000;não metastáticos;>=60;feminino;reto;alta;>60; 3; 21
2000;não metastáticos;>=60;feminino;reto;alta;<=60;10; 60
2000;não metastáticos;>=60;feminino;reto;baixa;>60; 2; 19
2000;não metastáticos;>=60;feminino;reto;baixa;<=60; 7; 60
2000;não metastáticos;>=60;feminino;reto;baixa;NA; 0;  6
2000;metastáticos;<60;masculino;colon;alta;>60; 2;  6
2000;metastáticos;<60;masculino;colon;alta;<=60;14; 35
2000;metastáticos;<60;masculino;colon;baixa;>60; 1;  6
2000;metastáticos;<60;masculino;colon;baixa;<=60;12; 20
2000;metastáticos;<60;masculino;colon;baixa;NA; 1;  3
2000;metastáticos;<60;masculino;reto;alta;>60; 1;  3
2000;metastáticos;<60;masculino;reto;alta;<=60;14; 23
2000;metastáticos;<60;masculino;reto;alta;NA; 2;  2
2000;metastáticos;<60;masculino;reto;baixa;>60; 0;  8
2000;metastáticos;<60;masculino;reto;baixa;<=60; 9; 18
2000;metastáticos;<60;masculino;reto;baixa;NA; 1;  2
2000;metastáticos;<60;feminino;colon;alta;>60; 1;  8
2000;metastáticos;<60;feminino;colon;alta;<=60;16; 28
2000;metastáticos;<60;feminino;colon;alta;NA; 1;  4
2000;metastáticos;<60;feminino;colon;baixa;>60; 2;  6
2000;metastáticos;<60;feminino;colon;baixa;<=60; 5; 18
2000;metastáticos;<60;feminino;colon;baixa;NA; 1;  2
2000;metastáticos;<60;feminino;reto;alta;>60; 2;  6
2000;metastáticos;<60;feminino;reto;alta;<=60; 6; 17
2000;metastáticos;<60;feminino;reto;alta;NA; 1;  1
2000;metastáticos;<60;feminino;reto;baixa;>60; 1;  4
2000;metastáticos;<60;feminino;reto;baixa;<=60; 4; 10
2000;metastáticos;>=60;masculino;colon;alta;>60; 0;  5
2000;metastáticos;>=60;masculino;colon;alta;<=60;16; 32
2000;metastáticos;>=60;masculino;colon;alta;NA; 0;  1
2000;metastáticos;>=60;masculino;colon;baixa;>60; 1;  6
2000;metastáticos;>=60;masculino;colon;baixa;<=60; 8; 16
2000;metastáticos;>=60;masculino;colon;baixa;NA; 0;  2
2000;metastáticos;>=60;masculino;reto;alta;>60; 1;  6
2000;metastáticos;>=60;masculino;reto;alta;<=60; 8; 18
2000;metastáticos;>=60;masculino;reto;alta;NA; 1;  4
2000;metastáticos;>=60;masculino;reto;baixa;>60; 0;  3
2000;metastáticos;>=60;masculino;reto;baixa;<=60; 4; 17
2000;metastáticos;>=60;masculino;reto;baixa;NA; 3;  4
2000;metastáticos;>=60;feminino;colon;alta;>60; 2;  9
2000;metastáticos;>=60;feminino;colon;alta;<=60;13; 35
2000;metastáticos;>=60;feminino;colon;alta;NA; 4;  4
2000;metastáticos;>=60;feminino;colon;baixa;>60; 4;  9
2000;metastáticos;>=60;feminino;colon;baixa;<=60; 6; 12
2000;metastáticos;>=60;feminino;colon;baixa;NA; 2;  2
2000;metastáticos;>=60;feminino;reto;alta;>60; 0;  4
2000;metastáticos;>=60;feminino;reto;alta;<=60; 8; 19
2000;metastáticos;>=60;feminino;reto;alta;NA; 2;  3
2000;metastáticos;>=60;feminino;reto;baixa;>60; 2;  4
2000;metastáticos;>=60;feminino;reto;baixa;<=60; 6; 13
2000;metastáticos;>=60;feminino;reto;baixa;NA; 3;  4
2001;não metastáticos;<60;masculino;colon;alta;>60; 0; 12
2001;não metastáticos;<60;masculino;colon;alta;<=60; 5; 91
2001;não metastáticos;<60;masculino;colon;alta;NA; 1;  3
2001;não metastáticos;<60;masculino;colon;baixa;>60; 0; 10
2001;não metastáticos;<60;masculino;colon;baixa;<=60; 3; 54
2001;não metastáticos;<60;masculino;colon;baixa;NA; 1;  6
2001;não metastáticos;<60;masculino;reto;alta;>60; 1; 17
2001;não metastáticos;<60;masculino;reto;alta;<=60; 1; 69
2001;não metastáticos;<60;masculino;reto;alta;NA; 0;  2
2001;não metastáticos;<60;masculino;reto;baixa;>60; 5; 29
2001;não metastáticos;<60;masculino;reto;baixa;<=60; 9; 66
2001;não metastáticos;<60;masculino;reto;baixa;NA; 1;  5
2001;não metastáticos;<60;feminino;colon;alta;>60; 0; 26
2001;não metastáticos;<60;feminino;colon;alta;<=60; 9;100
2001;não metastáticos;<60;feminino;colon;alta;NA; 0;  4
2001;não metastáticos;<60;feminino;colon;baixa;>60; 1; 14
2001;não metastáticos;<60;feminino;colon;baixa;<=60; 6; 68
2001;não metastáticos;<60;feminino;colon;baixa;NA; 0;  3
2001;não metastáticos;<60;feminino;reto;alta;>60; 2; 23
2001;não metastáticos;<60;feminino;reto;alta;<=60; 3; 74
2001;não metastáticos;<60;feminino;reto;alta;NA; 0;  2
2001;não metastáticos;<60;feminino;reto;baixa;>60; 1; 33
